cnuc,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,administra,SiglaGrupo,UF,municipios,biomaIBGE,biomaCRL,CoordRegio
1626,PARQUE NACIONAL NASCENTES DO LAGO JARI,2008,Parna,8127528072,5637672166,DEC S/N de 08/05/2008,Federal,PI,AM,Tapauá Beruri.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
1606,RESERVA EXTRATIVISTA DO MÉDIO PURÚS,2008,Resex,6042359698,11572986595,DEC S/N de 08/05/2008,Federal,US,AM,Pauini Lábrea Tapauá.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
231,RESERVA EXTRATIVISTA DO BATOQUE,2005,Resex,6014468,135144466,DEC S/N de 05/06/2003,Federal,US,CE,Aquiraz Cascavel.,CAATINGA,CAATINGA,CR6 Cabedelo/PB
1628,RESERVA EXTRATIVISTA ITUXÍ,2008,Resex,7763296394,6375152025,DEC S/N de 05/06/2008,Federal,US,AM,Lábrea.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
1635,RESERVA EXTRATIVISTA RIO XINGU,2008,Resex,3030047034,3746834488,DEC S/N de 05/06/2008,Federal,US,PA,Altamira São Félix do Xingú.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
127,FLORESTA NACIONAL MÁRIO XAVIER,1986,Flona,4959905,11405718,DEC  93.369 de 08/10/1986,Federal,US,RJ,Seropédica.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
81,FLORESTA NACIONAL CONTENDAS DO SINCORÁ,1999,Flona,112159307,709246982,DEC S/N de 21/09/1999,Federal,US,BA,Contendas do Sincorá Tanhaçu.,CAATINGA,CAATINGA,CR7 Porto Seguro/BA
80,FLORESTA NACIONAL DE CHAPECÓ,1968,Flona,1604361,394436425,Portaria 560 de 25/10/1968,Federal,US,SC,Guatambú Chapecó.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
134,FLORESTA NACIONAL DE TRÊS BARRAS,1968,Flona,43853595,433394439,Portaria 560 de 25/12/1968,Federal,US,SC,Três Barras.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
93,FLORESTA NACIONAL DE IBIRAMA,1988,Flona,5193499,184660096,DEC  95.818 de 11/03/1988,Federal,US,SC,Ibirama Ascurra Apiúna.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
280,RESERVA EXTRATIVISTA RIO IRIRI,2006,Resex,3989976122,5447612772,DEC S/N de 05/06/2006,Federal,US,PA,Altamira.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
187,PARQUE NACIONAL MONTANHAS DO TUMUCUMAQUE,2002,Parna,3865000,17159299907,DEC S/N de 22/08/2002,Federal,PI,AP,Laranjal do Jari Pedra Branca do Amaparí Serra do Navio Calçoene Oiapoque Almerim Amapá Ferreira Gomes Pracuúba.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
103,FLORESTA NACIONAL DE PARAOPEBA,2001,Flona,203292,78426912,Portaria 248 de 18/07/2001,Federal,US,MG,Paraopeba.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
1683,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MERUOCA,2008,APA,293617424,1950642161,LEI 11.891 de 24/12/2008,Federal,US,CE,Meruoca Massapê Alcântara e Sobral.,CAATINGA,CAATINGA,CR5 Parnaíba/PI
1812,MONUMENTO NATURAL DO RIO SÃO FRANCISCO,2009,Mona,267367008,1943398164,DEC S/N de 05/06/2009,Federal,PI,BA/SE/AL,Piranhas Olho d´água do Cassado Delmiro Gouveira Paulo Afonso Canindé do São Francisco.,CAATINGA,CAATINGA,CR6 Cabedelo/PB
1809,RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE,2009,Resex,298054819,823891574,DEC S/N de 05/06/2009,Federal,US,CE,Beberibe.,MARINHO COSTEIRO,MARINHO COSTEIRO,CR6 Cabedelo/PB
71,ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,1986,Esec,17277142,313090574,DEC 92.964 de 21/07/1986,Federal,PI,SP,Peruíbe.,MARINHO COSTEIRO,MARINHO COSTEIRO,CR8 Rio de Janeiro/RJ
152,PARQUE NACIONAL DA SERRA DOS ORGÃOS,1984,Parna,200207461,1142719966,"DEC 1.822 de 30/11/1939 ,DEC 90.023 de 02/08/1984 ,DEC S/N de 13/09/2008",Federal,PI,RJ,Teresópolis Petrópolis Magé Guapimirim.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
1521,ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL,1982,APA,2925999242,10737129582,DEC  87.561 de 13/09/1982,Federal,US,MG/RJ/SP,Silveiras Taubaté Ubatuba Parati Areias Arujá Bananal Cachoeira Paulista Cunha Guarulhos Igaratá Jacareí Jambeiro Lorena Monteiro Lobato Natividade da Serra Nazaré Paulista Paraibuna Pindamonhangaba Redenção da Serra Salesópol,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
32,ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE,1990,Arie,11990535,146829152,DEC  99.275 de 06/06/1990,Federal,US,SP,Santa Rita do Passa Quatro.,CERRADO,CERRADO,CR8 Rio de Janeiro/RJ
245,RESERVA EXTRATIVISTA MARINHA DA BAIA DO IGUAPÉ,2000,Resex,10082591,164782769,"DEC S/N de 11/08/2000, LEI 12.058 de 13/10/2009",Federal,US,BA,Maragogipe Cachoeira São Félix Saubara.,MATA ATLÂNTICA,MATA ATLÂNTICA e MARINHO COSTEIRO,CR7 Porto Seguro/BA
48,ESTAÇÃO ECOLÓGICA DE AIUABA,2001,Esec,117467835,738691482,DEC S/N de 06/02/2001,Federal,PI,CE,Aiuaba.,CAATINGA,CAATINGA,CR6 Cabedelo/PB
1813,REFUGIO DE VIDA SILVESTRE DO RIO DOS FRADES,2007,Revis,8986784,138722133,DEC S/N de 21/12/2007,Federal,PI,BA,Porto Seguro.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
34,MONUMENTO NATURAL DO ARQUIPÉLAGO DAS ILHAS CAGARRAS,2010,Mona,1059327,102799997,LEI 12.229 de 13/04/2010,Federal,PI,RJ,Rio de Janeiro.,MARINHO COSTEIRO,MARINHO COSTEIRO,CR8 Rio de Janeiro/RJ
176,PARQUE NACIONAL DO PAU BRASIL,1999,Parna,189345456,922109386,DEC S/N de 11/06/2010,Federal,PI,BA,Porto Seguro.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
116,FLORESTA NACIONAL DO BOM FUTURO,1988,Flona,973852799,3075755383,"DEC  96.188 de 21/06/1988, LEI  12249 de 11/06/2010",Federal,US,RO,Porto Velho.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
1909,PARQUE NACIONAL DA SERRA DAS LONTRAS,2010,Parna,113438437,1025219137,DEC S/N de 11/06/2010,Federal,PI,BA,Arataca Uma.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
1910,PARQUE NACIONAL DO ALTO CARIRI,2010,Parna,192382621,1505487805,DEC S/N de 11/06/2010,Federal,PI,BA,Guaratinga.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
1908,PARQUE NACIONAL DE BOA NOVA,2010,Parna,1206547,1290424395,DEC S/N de 11/06/2010,Federal,PI,BA,Boa Nova Manoel Vitorino Dário Meira.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
1907,REFUGIO DE VIDA SILVESTRE DE BOA NOVA,2010,Revis,150240579,1850070255,DEC S/N de 11/06/2010,Federal,PI,BA,Boa Nova Manoel Vitorino Dário Meira.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
92,FLORESTA NACIONAL DE HUMAITÁ,1998,Flona,4731589617,43035436,DEC  2.485 de 02/02/1998,Federal,US,AM,Humaitá.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
226,RESERVA EXTRATIVISTA DA MATA GRANDE,1992,Resex,114316616,585216194,DEC 532 de 20/05/1992,Federal,US,MA,Davinópolis Senador La Rocque João Lisboa Imperatriz.,CERRADO,AMAZÔNIA Port 96 MMA,CR4 Belém/PA
222,RESERVA EXTRATIVISTA CHICO MENDES,1990,Resex,9315429422,11029376438,DEC 99.144 de 12/03/1990,Federal,US,AC,Sena Madureira Rio Branco Capixaba Xapuri Brasiléia Assis Brasil Epitaciolândia.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
279,RESERVA EXTRATIVISTA DE CURURUPU,2004,Resex,1860567301,605667092,DEC S/N de 02/06/2004,Federal,US,MA,Apicum-Açu Bacuri Serrano do Maranhão Cururupu Porto Rico do Maranhão.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
240,RESERVA EXTRATIVISTA DO EXTREMO NORTE DO ESTADO DO TOCANTINS,1992,Resex,90706031,477695651,DEC 535 de 20/05/1992,Federal,US,TO,Carrasco Bonito Sampaio Buriti do Tocantins.,CERRADO,CERRADO,CR4 Belém/PA
29,ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA,1996,APA,1628000,8707638912,DEC S/N de 26/11/1996,Federal,US,PI/CE,Buriti dos Lopes Bom Princípio Cocal Piracuruca Piripiri Brasileira Pedro II Lagoa do S. Francisco Conceição Domingos Mourão Chaval Granja Moraújo Tianguá e Viçosa do Ceará.,CAATINGA,CAATINGA e CERRADO,CR5 Parnaíba/PI
119,FLORESTA NACIONAL DO JATUARANA,2002,Flona,5694284396,4394021939,DEC S/N de 19/09/2002,Federal,US,AM,Apuí.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
233,RESERVA EXTRATIVISTA DO LAGO DO CUNIÃ,1999,Resex,506042681,1403258037,"DEC3.238 de 10/11/1999 , DEC 3.449 de 09/05/2000",Federal,US,RO,Porto Velho.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
1520,RESERVA EXTRATIVISTA DO QUILOMBO FLEXAL,1992,Resex,93384512,452926636,DEC 536 de 20/05/1992,Federal,US,MA,Mirinzal.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
186,PARQUE NACIONAL MARINHO DE FERNANDO DE NORONHA,1988,Parna,109278267,606429456,DEC 96.693 de 14/09/1988,Federal,PI,PE,Fernando de Noronha.,MARINHO COSTEIRO,MARINHO COSTEIRO,CR6 Cabedelo/PB
137,PARQUE NACIONAL DA CHAPADA DA DIAMANTINA,1985,Parna,1521439141,359344882,DEC 91.655 de 17/09/1985,Federal,PI,BA,Palmeiras Lençóis Andaraí Itaeté Ibicoara Mucugê.,CAATINGA,CAATINGA,CR7 Porto Seguro/BA
83,FLORESTA NACIONAL DE ALTAMIRA,1998,Flona,7249739366,479092375,DEC  2.483 de 2/2/1998,Federal,US,PA,Altamira Trairão Itaituba.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
76,ESTACAO ECOLÓGICA SERRA GERAL DO TOCANTINS,2001,Esec,7070877396,6430194978,DEC S/N de 27/09/2001,Federal,PI,BA/TO,Ponte Alta do Tocantins Mateiros Formosa do Rio Preto Rio da Conceição Almas.,CERRADO,CERRADO,CR5 Parnaíba/PI
283,RESERVA EXTRATIVISTA RIO UNINI,2006,Resex,84969335,12324546711,"DEC S/N de 21/06/2006 
",Federal,US,AM,Barcelos Maraã.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
62,ESTAÇÃO ECOLÓGICA DE TAIAMÃ,1981,Esec,115549824,969853549,DEC  86.061 de 02/06/1981,Federal,PI,MT,Poconé.,PANTANAL,PANTANAL,CR10 Cuiabá/MT
269,FLORESTA NACIONAL DO IBURA,2005,Flona,1441422,5629347,DEC S/N de 19/09/2005.,Federal,US,SE,Nossa Senhora do Socorro Laranjeiras.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR6 Cabedelo/PB
162,PARQUE NACIONAL DE JERICOACOARA,2002,Parna,88630292,557235639,"DEC S/N de 04/02/2002, LEI 11.486 de 15/06/2007",Federal,PI,CE,Cruz Jijoca de Jericoacoara.,CAATINGA,CAATINGA,CR5 Parnaíba/PI
262,PARQUE NACIONAL DAS ARAUCÁRIAS,2005,Parna,128095884,1807691442,DEC S/N de 19/10/2005,Federal,PI,SC,Passos Maia Ponte Serrada.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
64,ESTAÇÃO ECOLÓGICA TUPINAMBÁS,1987,Esec,24636151,432991098,DEC  94.656 de 20/07/1987,Federal,PI,SP,São Sebastião.,MARINHO COSTEIRO,MARINHO COSTEIRO,CR8 Rio de Janeiro/RJ
284,PARQUE NACIONAL DOS CAMPOS AMAZÔNICOS,2006,Parna,9613266491,10729841869,"DEC S/N de 21/06/2006, MP 542 de 12/08/2011, LEI 12.678 de 25/06/2012",Federal,PI,RO/MT/AM,Manicoré Novo Aripuanã  Machadinho d'Oeste Colniza.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
196,RESERVA BIOLÓGICA GUARIBAS,1990,Rebio,40516903,656023726,DEC  98.884 de 25/01/1990,Federal,PI,PB,Rio Tinto Mamanguape.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR6 Cabedelo/PB
89,FLORESTA NACIONAL DE CAXIUANÂ,1961,Flona,3179506567,2971666891,DEC 236 de 28/11/1961,Federal,US,PA,Portel Melgaço.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
104,FLORESTA NACIONAL DE PAU-ROSA,2001,Flona,9881867179,10001358405,DEC S/N de 07/08/2001.,Federal,US,AM,Maués Nova Olinda do Norte.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
248,RESERVA EXTRATIVISTA MARINHA DE CAETÉ-TAPERAÇU,2005,Resex,424898063,1646833841,DEC S/N de 20/05/2005,Federal,US,PA,Bragança Tracateua.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
65,ESTAÇÃO ECOLÓGICA DE URUÇUI-UNA,1981,Esec,1351222913,1693685846,DEC  86.061 de 02/06/1981.,Federal,PI,PI,Baixa Grande do Ribeiro.,CERRADO,CERRADO,CR5 Parnaíba/PI
254,RESERVA EXTRATIVISTA MARINHA DE SOURE,2001,Resex,295787959,2835519923,DEC de 22/11/2001,Federal,US,PA,Soure.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
1518,RESERVA EXTRATIVISTA DO RIO CAJARI,1990,Resex,5324045105,3668565983,DEC 99.145 de 12/03/1990,Federal,US,AP,Mazagão Laranjal do Jari Vitória do Jari.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
259,RESERVA EXTRATIVISTA TAPAJÓS-ARAPIUNS,1998,Resex,6775214736,6000114586,DEC S/N de 06/11/1998,Federal,US,PA,Santarém Aveiro.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
111,FLORESTA NACIONAL DE SOBRAL,1967,Flona,6610234,126890507,Portaria 358 de 27/09/2001,Federal,US,CE,Sobral.,CAATINGA,CAATINGA,CR5 Parnaíba/PI
70,ESTAÇÃO ECOLÓGICA DO TAIM,1986,Esec,109386375,1328719145,"DEC 92.963 de 21/07/1986, DEC S/N de 05/06/2003",Federal,PI,RS,Rio Grande Santa Vitória do Palmar.,PAMPA,PAMPA,CR9 Florianópolis/SC
113,FLORESTA NACIONAL DO AMAPÁ,1989,Flona,4603591433,4092965174,DEC  97.630 de 10/04/1989.,Federal,US,AP,Ferreira Gomes Pracuúba Amapá.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
158,PARQUE NACIONAL DE APARADOS DA SERRA,1959,Parna,131481362,649714262,"DEC 47.446 de 17/12/1959,DEC 70.296 de 17/03/1972",Federal,PI,SC/RS,Cambará do Sul Praia Grande.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
153,PARQUE NACIONAL DA SERRA GERAL,1992,Parna,173020082,1049334251,DEC 531 de 20/05/1992,Federal,PI,SC/RS,Jacinto Machado Praia Grande Cambará do Sul.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
171,PARQUE NACIONAL DO DESCOBRIMENTO,1999,Parna,226942592,1565934231,DEC S/N de 05/06/2012,Federal,PI,BA,Prado.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
2633,PARQUE NACIONAL DA FURNA FEIA,2012,Parna,85176291,719822258,DEC S/N de 05/06/2012,Federal,PI,RN,Baraúna Mossoró.,CAATINGA,CAATINGA,CR6 Cabedelo/PB
2634,RESERVA BIOLÓGICA  BOM JESUS,2012,Rebio,341790261,1852174791,DEC S/N de 05/06/2012,Federal,PI,PR,Antonina Guaraqueçaba Paranaguá.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
91,FLORESTA NACIONAL DE GOYTACAZES,2002,Flona,14256528,180526125,DEC S/N de 05/06/2012,Federal,US,ES,Linhares.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
115,FLORESTA NACIONAL DO ARARIPE-APODI,1946,Flona,389200619,1340571047,"DEC-LEI  9.226 de 02/05/1946, DEC S/N de 05/06/2012",Federal,US,CE,Santana do Cariri Crato Barbalha Missão Velha.,CAATINGA,CAATINGA,CR6 Cabedelo/PB
184,PARQUE NACIONAL DE ITATIAIA,1937,Parna,280863496,1039812692,"DEC 1.713 de 14/06/1937, DEC 87.586 de 20/09/1982",Federal,PI,MG/RJ,Itamonte Resende Itatiaia Bocaina de Minas.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
136,PARQUE NACIONAL DA AMAZÔNIA,1974,Parna,1066000,18034685792,"DEC 73.683 DE 19/02/1974, DEC 90.823 DE 18/01/1985, DEC S/N DE 13/02/2006, LEI 12.678 de 25/07/2012 
",Federal,PI,AM/PA,Aveiro Itaituba Maués.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
159,PARQUE NACIONAL DE BRASÍLIA,1961,Parna,423555419,1864031686,"DEC 241 de 29/11/1961, LEI 11.285 de 09/03/2006",Federal,PI,DF,Brasília Padre Bernardo Planaltina.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
95,FLORESTA NACIONAL DE ITAITUBA I,1998,Flona,2131050065,6282742744,"DEC  2.481 de 02/02/1998, LEI 12.678 de 25/06/2012",Federal,US,PA,Itaituba Trairão.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
270,FLORESTA NACIONAL DO CREPORI,2006,Flona,7403964725,6264092937,"DEC S/N de 13/02/2006, LEI 12.678 de 25/06/2012",Federal,US,PA,Jacareacanga.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
205,RESERVA BIOLÓGICA DO CÓRREGO GRANDE,1989,Rebio,15037519,195749136,DEC  97.657 de 12/04/1989,Federal,PI,ES,Conceição da Barra Mucuri.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR7 Porto Seguro/BA
23,ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL,2002,APA,5034233576,11558360931,DEC S/N de 10/01/2002,Federal,US,GO/DF,Planaltina Padre Bernardo Brasília Águas Claras de Goiás Cristalina Cabeceira Grande Santo Antônio do Descoberto Formosa Cidade Ocidental Novo Gama.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
53,ESTAÇÃO ECOLÓGICA DE CUNIÃ,2001,Esec,1853136097,3569458265,"DEC S/N de 27/09/2001, DEC S/N de 21/12/2007, DEC S/N de 13/03/2008,, LEI 12.249 de 11/06/2010",Federal,PI,RO/AM,Canutama Porto Velho.,AMAZÔNIA,AMAZÔNIA,CR1 Porto Velho/RO
90,FLORESTA NACIONAL DE CRISTÓPOLIS,2001,Flona,128406922,539989285,DEC S/N de 18/05/2001,Federal,US,BA,Baianópolis.,CERRADO,CERRADO,CR7 Porto Seguro/BA
123,FLORESTA NACIONAL DO TAPAJÓS,1974,Flona,5306206515,5462031096,"DEC  73.684 de 19/02/1974, LEI Nº 12.678 DE 25/06/2012",Federal,US,PA,Aveiro Belterra Rurópolis Placas.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
75,ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS,1982,Esec,271597104,1105162751,DEC  87.222 de 31/05/1982.,Federal,PI,MT,Porto Estrela.,CERRADO,CERRADO,CR10 Cuiabá/MT
1810,RESERVA EXTRATIVISTA RENASCER,2009,Resex,2096673737,2349678096,DEC S/N de 05/06/2009,Federal,US,PA,Prainha.,AMAZÔNIA,AMAZÔNIA,CR3 Santarém/PA
3,ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO,1983,APA,417836139,93435203,DEC  88.940 de 07/11/1983,Federal,US,GO/DF,Brasília Águas Lindas de Goiás Padre Bernardo.,CERRADO,CERRADO,CR11 Lagoa Santa/MG
251,RESERVA EXTRATIVISTA MARINHA DO ARRAIAL DO CABO,1997,Resex,516773859,1293048596,DEC S/N de 03/01/1997,Federal,US,RJ,Arraial do Cabo Araruama Cabo Frio.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
2874,PARQUE NACIONAL MARINHO DAS ILHAS DOS CURRAIS,2013,Parna,1359701,160676749,LEI 12.829 de 20/06/2013,Federal,PI,PR,Pontal do Paraná.,MARINHO COSTEIRO,MARINHO COSTEIRO,CR9 Florianópolis/SC
138,PARQUE NACIONAL DA CHAPADA DOS GUIMARÃES,1989,Parna,326468319,1130734235,DEC 97.656 de 12/04/1989,Federal,PI,MT,Chapada dos Guimarães Cuiabá.,CERRADO,CERRADO,CR10 Cuiabá/MT
